aircraft_id,airline,model,manufacture_year,fleet_type,airline_name,hub,fleet_size
SWA967,SWA,B737-MAX,2009,Narrow,Southwest Airlines,DAL,700
SWA637,SWA,B737-MAX,2005,Narrow,Southwest Airlines,DAL,700
NKS945,NKS,A319,2020,Narrow,Spirit Airlines,FLL,250
DAL314,DAL,A320,2019,Narrow,Delta Air Lines,ATL,900
UAL960,UAL,B757,2016,Wide,United Airlines,ORD,850
SWA382,SWA,B737-MAX,2014,Narrow,Southwest Airlines,DAL,700
NKS952,NKS,A319,2006,Narrow,Spirit Airlines,FLL,250
NKS205,NKS,A319,2014,Narrow,Spirit Airlines,FLL,250
DAL276,DAL,A320,2009,Narrow,Delta Air Lines,ATL,900
FFT962,FFT,A320neo,2011,Narrow,Frontier Airlines,DEN,200
FFT846,FFT,A320neo,2012,Narrow,Frontier Airlines,DEN,200
FFT783,FFT,A320neo,2014,Narrow,Frontier Airlines,DEN,200
DAL453,DAL,A320,2010,Narrow,Delta Air Lines,ATL,900
SWA851,SWA,B737-MAX,2015,Narrow,Southwest Airlines,DAL,700
AAL301,AAL,B737-800,2008,Narrow,American Airlines,DFW,950
AAL519,AAL,B737-800,2006,Narrow,American Airlines,DFW,950
NKS519,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
NKS635,NKS,A319,2018,Narrow,Spirit Airlines,FLL,250
JBU599,JBU,A321,2011,Wide,JetBlue,JFK,300
AAL853,AAL,B737-800,2010,Narrow,American Airlines,DFW,950
UAL419,UAL,B757,2018,Wide,United Airlines,ORD,850
AAL364,AAL,B737-800,2017,Narrow,American Airlines,DFW,950
AAL683,AAL,B737-800,2007,Narrow,American Airlines,DFW,950
AAL103,AAL,B737-800,2016,Narrow,American Airlines,DFW,950
AAL806,AAL,B737-800,2008,Narrow,American Airlines,DFW,950
SWA906,SWA,B737-MAX,2010,Narrow,Southwest Airlines,DAL,700
DAL152,DAL,A320,2012,Narrow,Delta Air Lines,ATL,900
DAL454,DAL,A320,2020,Narrow,Delta Air Lines,ATL,900
JBU695,JBU,A321,2015,Wide,JetBlue,JFK,300
JBU930,JBU,A321,2006,Wide,JetBlue,JFK,300
DAL712,DAL,A320,2012,Narrow,Delta Air Lines,ATL,900
UAL605,UAL,B757,2018,Wide,United Airlines,ORD,850
FFT881,FFT,A320neo,2011,Narrow,Frontier Airlines,DEN,200
AAL546,AAL,B737-800,2016,Narrow,American Airlines,DFW,950
FFT852,FFT,A320neo,2021,Narrow,Frontier Airlines,DEN,200
UAL410,UAL,B757,2019,Wide,United Airlines,ORD,850
UAL357,UAL,B757,2006,Wide,United Airlines,ORD,850
AAL978,AAL,B737-800,2008,Narrow,American Airlines,DFW,950
FFT808,FFT,A320neo,2011,Narrow,Frontier Airlines,DEN,200
AAL189,AAL,B737-800,2007,Narrow,American Airlines,DFW,950
FFT410,FFT,A320neo,2005,Narrow,Frontier Airlines,DEN,200
AAL142,AAL,B737-800,2020,Narrow,American Airlines,DFW,950
FFT243,FFT,A320neo,2021,Narrow,Frontier Airlines,DEN,200
FFT677,FFT,A320neo,2008,Narrow,Frontier Airlines,DEN,200
UAL240,UAL,B757,2019,Wide,United Airlines,ORD,850
UAL926,UAL,B757,2016,Wide,United Airlines,ORD,850
DAL319,DAL,A320,2016,Narrow,Delta Air Lines,ATL,900
NKS314,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
JBU765,JBU,A321,2009,Wide,JetBlue,JFK,300
UAL361,UAL,B757,2005,Wide,United Airlines,ORD,850
NKS327,NKS,A319,2018,Narrow,Spirit Airlines,FLL,250
SWA669,SWA,B737-MAX,2005,Narrow,Southwest Airlines,DAL,700
AAL164,AAL,B737-800,2021,Narrow,American Airlines,DFW,950
AAL581,AAL,B737-800,2007,Narrow,American Airlines,DFW,950
SWA936,SWA,B737-MAX,2009,Narrow,Southwest Airlines,DAL,700
AAL606,AAL,B737-800,2005,Narrow,American Airlines,DFW,950
FFT234,FFT,A320neo,2012,Narrow,Frontier Airlines,DEN,200
UAL783,UAL,B757,2017,Wide,United Airlines,ORD,850
SWA271,SWA,B737-MAX,2009,Narrow,Southwest Airlines,DAL,700
UAL526,UAL,B757,2015,Wide,United Airlines,ORD,850
JBU989,JBU,A321,2011,Wide,JetBlue,JFK,300
JBU403,JBU,A321,2015,Wide,JetBlue,JFK,300
UAL298,UAL,B757,2017,Wide,United Airlines,ORD,850
AAL545,AAL,B737-800,2005,Narrow,American Airlines,DFW,950
DAL655,DAL,A320,2010,Narrow,Delta Air Lines,ATL,900
UAL634,UAL,B757,2013,Wide,United Airlines,ORD,850
UAL539,UAL,B757,2018,Wide,United Airlines,ORD,850
NKS184,NKS,A319,2018,Narrow,Spirit Airlines,FLL,250
NKS167,NKS,A319,2019,Narrow,Spirit Airlines,FLL,250
FFT143,FFT,A320neo,2007,Narrow,Frontier Airlines,DEN,200
DAL690,DAL,A320,2010,Narrow,Delta Air Lines,ATL,900
JBU525,JBU,A321,2012,Wide,JetBlue,JFK,300
DAL289,DAL,A320,2019,Narrow,Delta Air Lines,ATL,900
FFT450,FFT,A320neo,2009,Narrow,Frontier Airlines,DEN,200
DAL795,DAL,A320,2015,Narrow,Delta Air Lines,ATL,900
SWA446,SWA,B737-MAX,2021,Narrow,Southwest Airlines,DAL,700
NKS557,NKS,A319,2006,Narrow,Spirit Airlines,FLL,250
UAL805,UAL,B757,2014,Wide,United Airlines,ORD,850
FFT615,FFT,A320neo,2012,Narrow,Frontier Airlines,DEN,200
UAL627,UAL,B757,2013,Wide,United Airlines,ORD,850
FFT739,FFT,A320neo,2017,Narrow,Frontier Airlines,DEN,200
JBU179,JBU,A321,2019,Wide,JetBlue,JFK,300
NKS351,NKS,A319,2013,Narrow,Spirit Airlines,FLL,250
NKS496,NKS,A319,2015,Narrow,Spirit Airlines,FLL,250
NKS949,NKS,A319,2020,Narrow,Spirit Airlines,FLL,250
UAL279,UAL,B757,2012,Wide,United Airlines,ORD,850
DAL540,DAL,A320,2014,Narrow,Delta Air Lines,ATL,900
AAL863,AAL,B737-800,2016,Narrow,American Airlines,DFW,950
FFT343,FFT,A320neo,2016,Narrow,Frontier Airlines,DEN,200
FFT746,FFT,A320neo,2015,Narrow,Frontier Airlines,DEN,200
FFT465,FFT,A320neo,2013,Narrow,Frontier Airlines,DEN,200
NKS139,NKS,A319,2008,Narrow,Spirit Airlines,FLL,250
AAL381,AAL,B737-800,2020,Narrow,American Airlines,DFW,950
JBU244,JBU,A321,2017,Wide,JetBlue,JFK,300
NKS908,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
AAL777,AAL,B737-800,2019,Narrow,American Airlines,DFW,950
FFT812,FFT,A320neo,2012,Narrow,Frontier Airlines,DEN,200
AAL472,AAL,B737-800,2014,Narrow,American Airlines,DFW,950
SWA329,SWA,B737-MAX,2019,Narrow,Southwest Airlines,DAL,700
UAL909,UAL,B757,2005,Wide,United Airlines,ORD,850
FFT127,FFT,A320neo,2015,Narrow,Frontier Airlines,DEN,200
NKS758,NKS,A319,2014,Narrow,Spirit Airlines,FLL,250
FFT537,FFT,A320neo,2007,Narrow,Frontier Airlines,DEN,200
FFT461,FFT,A320neo,2017,Narrow,Frontier Airlines,DEN,200
SWA435,SWA,B737-MAX,2018,Narrow,Southwest Airlines,DAL,700
NKS621,NKS,A319,2006,Narrow,Spirit Airlines,FLL,250
DAL245,DAL,A320,2014,Narrow,Delta Air Lines,ATL,900
UAL927,UAL,B757,2014,Wide,United Airlines,ORD,850
SWA279,SWA,B737-MAX,2012,Narrow,Southwest Airlines,DAL,700
FFT132,FFT,A320neo,2013,Narrow,Frontier Airlines,DEN,200
UAL823,UAL,B757,2006,Wide,United Airlines,ORD,850
NKS414,NKS,A319,2013,Narrow,Spirit Airlines,FLL,250
AAL115,AAL,B737-800,2015,Narrow,American Airlines,DFW,950
DAL302,DAL,A320,2013,Narrow,Delta Air Lines,ATL,900
SWA115,SWA,B737-MAX,2006,Narrow,Southwest Airlines,DAL,700
DAL954,DAL,A320,2014,Narrow,Delta Air Lines,ATL,900
SWA767,SWA,B737-MAX,2007,Narrow,Southwest Airlines,DAL,700
SWA393,SWA,B737-MAX,2008,Narrow,Southwest Airlines,DAL,700
JBU902,JBU,A321,2005,Wide,JetBlue,JFK,300
FFT577,FFT,A320neo,2020,Narrow,Frontier Airlines,DEN,200
DAL218,DAL,A320,2016,Narrow,Delta Air Lines,ATL,900
UAL876,UAL,B757,2008,Wide,United Airlines,ORD,850
DAL526,DAL,A320,2019,Narrow,Delta Air Lines,ATL,900
DAL535,DAL,A320,2019,Narrow,Delta Air Lines,ATL,900
UAL148,UAL,B757,2019,Wide,United Airlines,ORD,850
UAL813,UAL,B757,2015,Wide,United Airlines,ORD,850
SWA497,SWA,B737-MAX,2012,Narrow,Southwest Airlines,DAL,700
FFT332,FFT,A320neo,2012,Narrow,Frontier Airlines,DEN,200
FFT664,FFT,A320neo,2006,Narrow,Frontier Airlines,DEN,200
JBU367,JBU,A321,2015,Wide,JetBlue,JFK,300
DAL161,DAL,A320,2010,Narrow,Delta Air Lines,ATL,900
AAL231,AAL,B737-800,2006,Narrow,American Airlines,DFW,950
DAL111,DAL,A320,2013,Narrow,Delta Air Lines,ATL,900
AAL874,AAL,B737-800,2018,Narrow,American Airlines,DFW,950
DAL450,DAL,A320,2021,Narrow,Delta Air Lines,ATL,900
UAL843,UAL,B757,2006,Wide,United Airlines,ORD,850
NKS909,NKS,A319,2006,Narrow,Spirit Airlines,FLL,250
FFT442,FFT,A320neo,2013,Narrow,Frontier Airlines,DEN,200
FFT854,FFT,A320neo,2018,Narrow,Frontier Airlines,DEN,200
AAL533,AAL,B737-800,2020,Narrow,American Airlines,DFW,950
NKS515,NKS,A319,2015,Narrow,Spirit Airlines,FLL,250
UAL375,UAL,B757,2017,Wide,United Airlines,ORD,850
SWA184,SWA,B737-MAX,2016,Narrow,Southwest Airlines,DAL,700
SWA102,SWA,B737-MAX,2020,Narrow,Southwest Airlines,DAL,700
SWA378,SWA,B737-MAX,2015,Narrow,Southwest Airlines,DAL,700
DAL627,DAL,A320,2011,Narrow,Delta Air Lines,ATL,900
SWA191,SWA,B737-MAX,2006,Narrow,Southwest Airlines,DAL,700
AAL455,AAL,B737-800,2011,Narrow,American Airlines,DFW,950
NKS395,NKS,A319,2010,Narrow,Spirit Airlines,FLL,250
FFT518,FFT,A320neo,2019,Narrow,Frontier Airlines,DEN,200
NKS524,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
UAL485,UAL,B757,2014,Wide,United Airlines,ORD,850
AAL125,AAL,B737-800,2016,Narrow,American Airlines,DFW,950
FFT134,FFT,A320neo,2015,Narrow,Frontier Airlines,DEN,200
AAL181,AAL,B737-800,2014,Narrow,American Airlines,DFW,950
AAL850,AAL,B737-800,2016,Narrow,American Airlines,DFW,950
DAL286,DAL,A320,2009,Narrow,Delta Air Lines,ATL,900
SWA226,SWA,B737-MAX,2017,Narrow,Southwest Airlines,DAL,700
SWA537,SWA,B737-MAX,2014,Narrow,Southwest Airlines,DAL,700
JBU825,JBU,A321,2006,Wide,JetBlue,JFK,300
JBU943,JBU,A321,2015,Wide,JetBlue,JFK,300
DAL396,DAL,A320,2012,Narrow,Delta Air Lines,ATL,900
NKS109,NKS,A319,2007,Narrow,Spirit Airlines,FLL,250
AAL754,AAL,B737-800,2021,Narrow,American Airlines,DFW,950
DAL225,DAL,A320,2015,Narrow,Delta Air Lines,ATL,900
JBU312,JBU,A321,2014,Wide,JetBlue,JFK,300
UAL252,UAL,B757,2013,Wide,United Airlines,ORD,850
JBU411,JBU,A321,2018,Wide,JetBlue,JFK,300
FFT602,FFT,A320neo,2007,Narrow,Frontier Airlines,DEN,200
SWA959,SWA,B737-MAX,2006,Narrow,Southwest Airlines,DAL,700
NKS800,NKS,A319,2014,Narrow,Spirit Airlines,FLL,250
SWA573,SWA,B737-MAX,2020,Narrow,Southwest Airlines,DAL,700
DAL256,DAL,A320,2017,Narrow,Delta Air Lines,ATL,900
DAL429,DAL,A320,2013,Narrow,Delta Air Lines,ATL,900
SWA381,SWA,B737-MAX,2019,Narrow,Southwest Airlines,DAL,700
AAL667,AAL,B737-800,2017,Narrow,American Airlines,DFW,950
AAL782,AAL,B737-800,2019,Narrow,American Airlines,DFW,950
FFT709,FFT,A320neo,2020,Narrow,Frontier Airlines,DEN,200
FFT325,FFT,A320neo,2015,Narrow,Frontier Airlines,DEN,200
JBU976,JBU,A321,2018,Wide,JetBlue,JFK,300
NKS208,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
UAL124,UAL,B757,2018,Wide,United Airlines,ORD,850
UAL831,UAL,B757,2010,Wide,United Airlines,ORD,850
NKS423,NKS,A319,2017,Narrow,Spirit Airlines,FLL,250
SWA141,SWA,B737-MAX,2010,Narrow,Southwest Airlines,DAL,700
UAL673,UAL,B757,2017,Wide,United Airlines,ORD,850
NKS703,NKS,A319,2018,Narrow,Spirit Airlines,FLL,250
JBU117,JBU,A321,2008,Wide,JetBlue,JFK,300
FFT242,FFT,A320neo,2014,Narrow,Frontier Airlines,DEN,200
AAL344,AAL,B737-800,2006,Narrow,American Airlines,DFW,950
DAL929,DAL,A320,2005,Narrow,Delta Air Lines,ATL,900
NKS819,NKS,A319,2009,Narrow,Spirit Airlines,FLL,250
UAL613,UAL,B757,2019,Wide,United Airlines,ORD,850
NKS614,NKS,A319,2005,Narrow,Spirit Airlines,FLL,250
DAL661,DAL,A320,2010,Narrow,Delta Air Lines,ATL,900
NKS467,NKS,A319,2007,Narrow,Spirit Airlines,FLL,250
SWA169,SWA,B737-MAX,2020,Narrow,Southwest Airlines,DAL,700
UAL780,UAL,B757,2011,Wide,United Airlines,ORD,850
JBU872,JBU,A321,2019,Wide,JetBlue,JFK,300
FFT626,FFT,A320neo,2016,Narrow,Frontier Airlines,DEN,200
DAL120,DAL,A320,2013,Narrow,Delta Air Lines,ATL,900
JBU137,JBU,A321,2020,Wide,JetBlue,JFK,300
NKS825,NKS,A319,2018,Narrow,Spirit Airlines,FLL,250
FFT394,FFT,A320neo,2016,Narrow,Frontier Airlines,DEN,200
NKS129,NKS,A319,2017,Narrow,Spirit Airlines,FLL,250
NKS468,NKS,A319,2010,Narrow,Spirit Airlines,FLL,250
NKS912,NKS,A319,2013,Narrow,Spirit Airlines,FLL,250
DAL420,DAL,A320,2007,Narrow,Delta Air Lines,ATL,900
JBU173,JBU,A321,2010,Wide,JetBlue,JFK,300
DAL639,DAL,A320,2016,Narrow,Delta Air Lines,ATL,900
JBU360,JBU,A321,2016,Wide,JetBlue,JFK,300
AAL252,AAL,B737-800,2011,Narrow,American Airlines,DFW,950
DAL574,DAL,A320,2017,Narrow,Delta Air Lines,ATL,900
SWA418,SWA,B737-MAX,2014,Narrow,Southwest Airlines,DAL,700
DAL555,DAL,A320,2012,Narrow,Delta Air Lines,ATL,900
NKS251,NKS,A319,2018,Narrow,Spirit Airlines,FLL,250
NKS859,NKS,A319,2010,Narrow,Spirit Airlines,FLL,250
NKS706,NKS,A319,2009,Narrow,Spirit Airlines,FLL,250
NKS722,NKS,A319,2007,Narrow,Spirit Airlines,FLL,250
DAL572,DAL,A320,2006,Narrow,Delta Air Lines,ATL,900
JBU577,JBU,A321,2020,Wide,JetBlue,JFK,300
DAL130,DAL,A320,2011,Narrow,Delta Air Lines,ATL,900
DAL332,DAL,A320,2010,Narrow,Delta Air Lines,ATL,900
SWA850,SWA,B737-MAX,2014,Narrow,Southwest Airlines,DAL,700
DAL204,DAL,A320,2005,Narrow,Delta Air Lines,ATL,900
JBU852,JBU,A321,2019,Wide,JetBlue,JFK,300
AAL807,AAL,B737-800,2012,Narrow,American Airlines,DFW,950
SWA996,SWA,B737-MAX,2015,Narrow,Southwest Airlines,DAL,700
SWA670,SWA,B737-MAX,2017,Narrow,Southwest Airlines,DAL,700
DAL923,DAL,A320,2007,Narrow,Delta Air Lines,ATL,900
JBU754,JBU,A321,2018,Wide,JetBlue,JFK,300
DAL856,DAL,A320,2021,Narrow,Delta Air Lines,ATL,900
NKS917,NKS,A319,2009,Narrow,Spirit Airlines,FLL,250
UAL141,UAL,B757,2008,Wide,United Airlines,ORD,850
JBU428,JBU,A321,2013,Wide,JetBlue,JFK,300
FFT638,FFT,A320neo,2017,Narrow,Frontier Airlines,DEN,200
AAL947,AAL,B737-800,2018,Narrow,American Airlines,DFW,950
JBU951,JBU,A321,2020,Wide,JetBlue,JFK,300
FFT843,FFT,A320neo,2011,Narrow,Frontier Airlines,DEN,200
DAL975,DAL,A320,2008,Narrow,Delta Air Lines,ATL,900
DAL931,DAL,A320,2020,Narrow,Delta Air Lines,ATL,900
UAL247,UAL,B757,2011,Wide,United Airlines,ORD,850
JBU799,JBU,A321,2005,Wide,JetBlue,JFK,300
DAL896,DAL,A320,2013,Narrow,Delta Air Lines,ATL,900
FFT721,FFT,A320neo,2016,Narrow,Frontier Airlines,DEN,200
SWA854,SWA,B737-MAX,2013,Narrow,Southwest Airlines,DAL,700
UAL553,UAL,B757,2007,Wide,United Airlines,ORD,850
SWA222,SWA,B737-MAX,2016,Narrow,Southwest Airlines,DAL,700
NKS197,NKS,A319,2008,Narrow,Spirit Airlines,FLL,250
NKS116,NKS,A319,2005,Narrow,Spirit Airlines,FLL,250
DAL933,DAL,A320,2017,Narrow,Delta Air Lines,ATL,900
JBU133,JBU,A321,2009,Wide,JetBlue,JFK,300
NKS985,NKS,A319,2016,Narrow,Spirit Airlines,FLL,250
SWA586,SWA,B737-MAX,2018,Narrow,Southwest Airlines,DAL,700
FFT678,FFT,A320neo,2021,Narrow,Frontier Airlines,DEN,200
JBU886,JBU,A321,2006,Wide,JetBlue,JFK,300
SWA256,SWA,B737-MAX,2007,Narrow,Southwest Airlines,DAL,700
DAL436,DAL,A320,2007,Narrow,Delta Air Lines,ATL,900
AAL652,AAL,B737-800,2018,Narrow,American Airlines,DFW,950
DAL202,DAL,A320,2012,Narrow,Delta Air Lines,ATL,900
