aircraft_id,region,signal_strength,message_type,response_time,error_code,timestamp
JBU586,SE,-77.8,CPDLC,7.41,0,2025-04-27 12:05:00
NKS838,MW,-96.77,VDL,3.31,404,2025-06-01 02:41:00
DAL308,NW,-71.76,ACARS,7.08,0,2025-04-06 10:01:00
SWA974,MW,-94.36,ACARS,1.53,303,2025-04-20 01:56:00
SWA215,SW,-84.24,ACARS,9.43,505,2025-04-14 12:43:00
UAL557,NE,-77.34,FANS,6.78,303,2025-04-14 05:37:00
DAL771,SW,-97.81,VDL,9.81,202,2025-05-18 20:05:00
AAL410,INTL,-103.32,CPDLC,1.5,202,2025-04-17 12:21:00
JBU672,NE,-72.5,VDL,5.53,101,2025-05-10 12:58:00
SWA726,SW,-77.81,ACARS,8.35,0,2025-05-24 05:12:00
NKS853,MW,-80.84,FANS,5.62,303,2025-05-19 03:23:00
SWA811,SE,-97.97,VDL,6.25,0,2025-05-18 23:48:00
JBU893,MW,-64.46,VDL,5.5,0,2025-05-17 18:33:00
DAL841,SE,-72.88,FANS,8.2,202,2025-04-10 20:49:00
DAL867,NE,-69.35,CPDLC,5.18,303,2025-05-14 07:49:00
SWA120,INTL,-62.14,CPDLC,9.24,0,2025-05-10 11:15:00
DAL833,NW,-85.37,VDL,4.85,505,2025-05-04 10:10:00
AAL725,INTL,-89.4,VDL,1.02,303,2025-04-11 21:31:00
JBU427,INTL,-74.56,VDL,2.16,0,2025-04-19 19:23:00
DAL512,SW,-90.22,FANS,6.64,202,2025-04-26 06:18:00
DAL174,SE,-105.98,CPDLC,5.73,101,2025-04-30 03:14:00
NKS152,SW,-88.82,CPDLC,5.66,202,2025-04-01 06:34:00
NKS125,NE,-88.87,VDL,4.16,404,2025-06-08 04:43:00
UAL782,NE,-63.58,VDL,2.52,0,2025-05-09 15:20:00
AAL528,SE,-88.01,FANS,5.33,0,2025-04-20 14:41:00
NKS541,MW,-87.43,CPDLC,7.96,303,2025-05-28 05:20:00
FFT983,NW,-88.87,FANS,9.95,0,2025-04-01 16:31:00
JBU165,INTL,-76.09,VDL,4.24,202,2025-05-23 05:24:00
SWA350,SE,-96.13,ACARS,2.67,0,2025-04-30 03:05:00
FFT885,NW,-67.07,VDL,5.38,0,2025-05-08 02:08:00
UAL229,NW,-105.1,VDL,4.93,404,2025-05-21 11:37:00
NKS287,NE,-88.57,VDL,1.02,404,2025-04-18 10:17:00
NKS623,MW,-88.04,ACARS,1.28,0,2025-06-06 12:17:00
NKS210,NE,-79.64,ACARS,9.81,202,2025-05-21 08:56:00
DAL984,SE,-102.97,VDL,1.5,404,2025-04-27 04:35:00
SWA827,MW,-93.96,CPDLC,1.71,0,2025-05-05 13:56:00
JBU515,INTL,-107.39,FANS,8.75,0,2025-04-20 07:55:00
FFT318,SE,-103.83,CPDLC,6.89,404,2025-04-17 21:35:00
NKS591,INTL,-95.73,ACARS,7.19,101,2025-04-23 23:40:00
NKS150,INTL,-82.67,ACARS,2.48,0,2025-04-11 20:09:00
NKS127,SE,-109.15,CPDLC,7.95,101,2025-06-06 01:42:00
DAL845,MW,-69.89,FANS,2.28,101,2025-05-14 16:57:00
SWA779,SE,-101.59,FANS,9.14,404,2025-05-14 02:42:00
JBU279,SW,-61.62,VDL,3.69,303,2025-06-08 09:56:00
UAL662,INTL,-92.32,VDL,3.08,101,2025-06-09 07:15:00
SWA705,SW,-70.2,ACARS,5.74,505,2025-05-25 02:50:00
DAL550,NE,-106.69,FANS,9.01,303,2025-06-03 22:39:00
NKS881,NE,-61.0,FANS,5.45,202,2025-06-06 18:40:00
JBU972,SE,-65.54,VDL,8.05,202,2025-05-22 21:22:00
DAL143,NW,-69.1,CPDLC,9.15,303,2025-04-10 07:37:00
UAL102,NE,-66.15,VDL,9.74,303,2025-05-07 22:12:00
AAL481,SE,-76.54,VDL,7.04,0,2025-06-02 15:13:00
JBU401,SW,-82.14,FANS,9.61,0,2025-04-13 23:10:00
SWA638,NW,-61.94,FANS,4.79,303,2025-05-19 05:30:00
JBU466,INTL,-74.69,VDL,8.87,101,2025-05-14 07:25:00
DAL546,NE,-72.56,VDL,6.52,0,2025-04-24 04:32:00
AAL624,SW,-68.58,VDL,3.45,0,2025-04-13 16:18:00
NKS609,NW,-99.28,VDL,2.47,303,2025-04-22 00:52:00
DAL180,SE,-89.09,VDL,5.35,0,2025-05-06 19:08:00
JBU558,MW,-105.55,ACARS,5.32,404,2025-05-09 20:46:00
SWA202,NW,-89.83,VDL,2.34,303,2025-05-22 20:58:00
UAL696,SW,-98.38,VDL,5.04,0,2025-05-16 23:08:00
JBU508,INTL,-62.76,ACARS,3.55,505,2025-04-14 17:31:00
SWA728,NW,-89.42,CPDLC,6.82,0,2025-05-28 00:43:00
SWA200,SE,-88.8,VDL,4.95,0,2025-04-14 23:21:00
DAL435,NE,-69.62,ACARS,3.23,0,2025-04-19 04:44:00
UAL532,INTL,-91.03,ACARS,6.88,0,2025-04-07 21:38:00
JBU473,MW,-70.09,VDL,8.45,0,2025-06-03 19:43:00
NKS126,INTL,-70.74,VDL,2.09,0,2025-05-07 16:25:00
UAL708,INTL,-101.67,FANS,1.7,101,2025-04-15 18:17:00
FFT278,INTL,-75.17,ACARS,6.74,0,2025-06-03 02:29:00
AAL994,SW,-107.97,VDL,9.13,0,2025-04-05 04:35:00
UAL766,MW,-99.96,CPDLC,2.75,0,2025-05-04 09:01:00
AAL558,NE,-105.16,ACARS,4.56,101,2025-05-30 11:51:00
FFT171,INTL,-81.84,VDL,2.48,505,2025-05-04 18:54:00
DAL600,SW,-92.17,VDL,8.28,202,2025-04-19 10:54:00
FFT747,NE,-107.56,FANS,5.98,0,2025-06-06 02:41:00
FFT301,SW,-98.2,FANS,2.72,0,2025-05-23 08:27:00
DAL948,SE,-103.31,CPDLC,7.5,0,2025-05-26 17:18:00
JBU430,INTL,-80.46,FANS,5.59,303,2025-05-21 16:08:00
SWA212,NW,-86.13,FANS,3.29,0,2025-04-17 12:56:00
FFT636,MW,-64.71,CPDLC,9.08,0,2025-04-02 12:26:00
NKS596,SW,-105.25,ACARS,7.9,0,2025-05-04 20:19:00
AAL134,SE,-63.12,CPDLC,6.62,303,2025-04-09 18:04:00
UAL719,SE,-63.68,VDL,9.85,404,2025-05-04 20:08:00
AAL407,SE,-108.67,VDL,3.88,505,2025-04-24 01:31:00
JBU449,SW,-89.48,ACARS,6.42,101,2025-04-16 14:55:00
FFT640,SE,-93.41,ACARS,5.73,202,2025-05-31 14:30:00
NKS905,SW,-91.08,VDL,8.93,0,2025-05-18 02:04:00
DAL695,INTL,-99.79,CPDLC,2.13,303,2025-05-04 02:30:00
SWA615,MW,-81.47,ACARS,4.7,404,2025-04-14 13:48:00
SWA919,NW,-98.34,FANS,6.53,303,2025-04-13 01:48:00
UAL734,MW,-101.72,ACARS,4.2,0,2025-04-06 10:34:00
SWA967,NE,-74.15,VDL,4.58,202,2025-05-12 16:11:00
SWA637,SW,-74.44,CPDLC,6.68,202,2025-05-06 13:51:00
NKS945,NE,-103.35,FANS,2.84,0,2025-05-21 15:04:00
DAL314,INTL,-90.54,VDL,6.16,404,2025-06-01 08:16:00
UAL960,INTL,-70.9,VDL,5.37,505,2025-05-24 08:58:00
SWA382,SE,-93.24,VDL,2.33,0,2025-05-15 06:38:00
NKS952,NW,-76.48,CPDLC,9.49,202,2025-04-06 22:31:00
NKS205,NW,-64.7,CPDLC,1.75,303,2025-04-13 22:56:00
DAL276,MW,-91.25,VDL,5.34,0,2025-04-01 17:37:00
FFT962,NW,-93.36,CPDLC,3.44,505,2025-06-08 21:14:00
FFT846,SE,-100.69,FANS,7.02,202,2025-05-16 21:15:00
FFT783,SW,-90.29,VDL,8.54,505,2025-04-14 08:09:00
DAL453,INTL,-74.16,CPDLC,1.8,404,2025-05-15 00:04:00
SWA851,SE,-108.22,FANS,8.48,0,2025-04-01 22:12:00
AAL301,SE,-109.4,CPDLC,2.02,404,2025-05-13 19:04:00
AAL519,NE,-99.34,VDL,5.24,0,2025-05-03 19:16:00
NKS519,NW,-62.88,FANS,5.47,404,2025-05-09 01:27:00
NKS635,NW,-95.63,CPDLC,8.54,0,2025-04-17 22:29:00
JBU599,NE,-66.18,ACARS,6.05,202,2025-04-20 18:29:00
AAL853,SE,-70.33,VDL,4.82,505,2025-04-30 19:14:00
UAL419,NW,-95.1,CPDLC,2.15,404,2025-05-01 22:19:00
AAL364,SE,-101.88,FANS,6.5,0,2025-06-04 10:32:00
AAL683,NW,-96.89,ACARS,3.14,202,2025-06-01 21:12:00
AAL103,NW,-75.9,CPDLC,3.67,101,2025-05-16 18:17:00
AAL806,NE,-98.18,FANS,9.24,0,2025-05-20 07:21:00
SWA906,SE,-71.99,FANS,8.69,0,2025-05-31 18:12:00
DAL152,MW,-65.91,ACARS,3.65,505,2025-05-12 05:11:00
DAL454,NW,-90.7,ACARS,6.13,303,2025-05-14 20:40:00
JBU695,NE,-70.32,VDL,7.36,0,2025-04-22 16:01:00
JBU930,NW,-109.15,CPDLC,5.93,505,2025-05-19 00:11:00
DAL712,MW,-89.65,CPDLC,2.69,303,2025-04-17 15:39:00
UAL605,SW,-102.05,CPDLC,5.7,101,2025-05-28 10:36:00
DAL152,NW,-103.36,CPDLC,1.98,0,2025-05-28 16:54:00
FFT881,NE,-101.03,ACARS,5.73,0,2025-06-05 08:37:00
AAL546,NE,-109.48,CPDLC,8.71,0,2025-06-04 19:34:00
FFT852,NW,-102.7,ACARS,2.43,303,2025-06-02 11:26:00
UAL410,NE,-60.62,ACARS,4.81,0,2025-05-31 14:23:00
UAL357,NW,-83.18,CPDLC,5.18,0,2025-05-11 09:25:00
AAL978,NW,-91.07,ACARS,4.44,0,2025-05-26 08:42:00
FFT808,NE,-90.92,FANS,7.47,505,2025-05-26 03:16:00
AAL189,INTL,-80.85,FANS,6.76,202,2025-05-10 06:33:00
FFT410,NE,-91.82,CPDLC,2.2,505,2025-04-04 07:35:00
AAL142,NW,-86.26,ACARS,3.49,303,2025-05-03 12:31:00
FFT243,MW,-91.51,VDL,4.76,0,2025-04-26 18:00:00
FFT677,NE,-102.6,CPDLC,8.22,0,2025-04-14 07:15:00
UAL240,NW,-73.46,VDL,4.9,303,2025-06-01 16:39:00
UAL926,NW,-64.07,CPDLC,1.24,0,2025-05-26 09:07:00
DAL319,NW,-104.52,CPDLC,7.14,0,2025-05-15 12:14:00
NKS314,SE,-70.7,FANS,3.02,0,2025-04-13 20:50:00
JBU765,NW,-108.88,CPDLC,2.12,505,2025-05-09 10:51:00
UAL361,INTL,-83.96,ACARS,7.32,0,2025-06-08 06:52:00
NKS327,NE,-96.93,FANS,7.48,404,2025-04-20 14:33:00
SWA669,NE,-106.34,FANS,7.49,0,2025-04-30 16:01:00
AAL164,NE,-86.76,ACARS,4.91,0,2025-04-10 11:48:00
AAL581,NE,-78.43,CPDLC,1.73,505,2025-05-04 11:30:00
SWA936,SE,-76.1,FANS,3.22,0,2025-05-09 21:47:00
AAL606,NE,-102.15,VDL,5.2,505,2025-04-17 03:07:00
FFT234,NE,-68.04,ACARS,9.29,0,2025-06-03 08:12:00
UAL783,SE,-73.75,VDL,2.2,505,2025-05-16 21:34:00
SWA271,NW,-102.52,ACARS,7.37,0,2025-05-02 04:02:00
UAL526,MW,-88.12,FANS,4.19,101,2025-06-05 14:29:00
JBU989,SW,-90.5,FANS,2.67,202,2025-04-12 10:11:00
JBU403,NE,-73.6,ACARS,6.67,101,2025-05-31 06:12:00
UAL298,INTL,-71.16,CPDLC,3.04,202,2025-05-08 09:05:00
AAL545,SW,-62.88,VDL,2.68,0,2025-04-20 18:34:00
DAL655,SE,-93.29,VDL,6.61,202,2025-04-13 11:29:00
UAL634,NW,-104.88,ACARS,4.78,0,2025-05-10 21:32:00
UAL539,MW,-97.89,FANS,1.25,202,2025-04-25 22:50:00
NKS184,NE,-86.66,VDL,2.76,0,2025-05-18 17:48:00
NKS167,INTL,-104.82,CPDLC,7.76,101,2025-05-15 12:33:00
FFT143,INTL,-63.16,VDL,6.31,0,2025-04-26 10:53:00
DAL690,NE,-65.94,VDL,1.72,303,2025-05-16 06:18:00
JBU525,SW,-92.41,VDL,5.72,0,2025-04-24 12:23:00
DAL289,NE,-84.29,VDL,4.98,0,2025-04-17 14:21:00
SWA936,MW,-78.55,ACARS,9.39,101,2025-05-05 19:52:00
FFT450,MW,-88.31,FANS,5.14,0,2025-06-06 04:45:00
DAL795,SE,-88.11,VDL,8.83,404,2025-04-21 22:10:00
SWA446,INTL,-68.85,VDL,5.51,0,2025-05-10 03:23:00
UAL539,INTL,-102.28,VDL,2.96,0,2025-04-05 19:09:00
NKS557,NW,-91.28,FANS,6.13,303,2025-04-16 22:05:00
UAL805,NE,-100.41,ACARS,5.98,0,2025-05-20 09:17:00
FFT615,SW,-93.92,FANS,7.19,202,2025-04-25 00:34:00
UAL627,MW,-99.78,CPDLC,2.79,505,2025-05-16 15:41:00
SWA726,NW,-101.24,CPDLC,4.87,303,2025-04-26 06:55:00
FFT739,SW,-60.44,FANS,7.7,202,2025-04-04 19:35:00
JBU179,SE,-105.69,FANS,3.41,505,2025-06-08 21:41:00
NKS351,MW,-68.75,ACARS,7.41,0,2025-04-25 21:27:00
NKS496,NE,-91.38,ACARS,1.17,0,2025-04-20 17:24:00
NKS949,NE,-94.59,CPDLC,6.2,505,2025-04-15 20:34:00
UAL279,INTL,-91.51,FANS,7.68,0,2025-04-16 00:39:00
UAL830,NE,-81.43,ACARS,8.4,101,2025-04-18 10:42:00
DAL540,SW,-108.79,FANS,7.1,0,2025-04-08 00:05:00
AAL863,NW,-103.53,ACARS,4.3,0,2025-06-05 03:07:00
FFT343,NW,-98.14,ACARS,5.5,404,2025-04-11 02:52:00
FFT746,NE,-100.65,FANS,6.37,0,2025-04-19 03:51:00
FFT465,SE,-87.59,FANS,2.52,404,2025-05-23 16:52:00
NKS139,NW,-64.44,ACARS,7.95,404,2025-04-24 20:20:00
AAL381,NW,-92.83,FANS,3.33,303,2025-04-16 17:53:00
JBU244,NW,-81.24,FANS,8.57,0,2025-05-26 02:57:00
NKS908,NE,-77.05,VDL,2.23,0,2025-05-11 21:33:00
AAL777,SW,-82.71,VDL,3.88,0,2025-05-16 15:09:00
FFT812,NE,-89.11,VDL,4.51,0,2025-04-13 10:21:00
AAL472,NW,-99.43,CPDLC,3.33,101,2025-05-03 04:51:00
DAL771,INTL,-91.37,FANS,8.45,0,2025-04-03 21:59:00
SWA329,NE,-84.84,ACARS,5.66,505,2025-05-25 06:04:00
UAL909,SE,-72.98,ACARS,5.52,0,2025-05-02 12:22:00
FFT127,NW,-74.65,ACARS,7.31,202,2025-04-29 08:55:00
NKS758,NW,-109.39,VDL,1.32,0,2025-05-24 04:34:00
FFT537,SE,-88.13,FANS,9.2,0,2025-04-10 13:08:00
FFT461,NE,-82.47,ACARS,7.09,101,2025-04-02 02:48:00
SWA435,MW,-108.69,ACARS,2.09,0,2025-06-06 15:25:00
NKS621,INTL,-96.51,CPDLC,5.99,101,2025-05-12 17:40:00
DAL245,INTL,-96.57,ACARS,1.9,0,2025-04-01 20:19:00
UAL927,NE,-75.87,VDL,8.64,202,2025-06-07 11:44:00
SWA279,NE,-82.72,FANS,1.68,303,2025-04-22 07:47:00
FFT132,NW,-102.58,CPDLC,4.47,404,2025-05-24 15:59:00
UAL823,NE,-75.76,CPDLC,2.71,0,2025-05-24 19:54:00
NKS414,SE,-85.29,CPDLC,8.52,303,2025-05-31 14:39:00
AAL115,MW,-70.06,VDL,5.72,505,2025-05-18 19:45:00
DAL302,SE,-109.65,VDL,2.28,0,2025-04-21 20:23:00
SWA115,NE,-67.56,FANS,2.29,101,2025-04-19 07:57:00
DAL954,INTL,-78.57,FANS,5.31,0,2025-04-07 21:28:00
SWA767,NW,-96.16,ACARS,7.59,0,2025-05-26 05:27:00
SWA393,SW,-61.22,CPDLC,3.09,202,2025-04-21 10:05:00
JBU902,INTL,-89.56,CPDLC,7.34,202,2025-05-08 21:07:00
FFT577,SE,-83.18,ACARS,2.05,303,2025-05-19 13:55:00
DAL218,MW,-102.54,VDL,9.37,202,2025-05-18 10:15:00
UAL876,SE,-70.56,ACARS,9.16,0,2025-04-20 22:41:00
DAL526,MW,-82.33,VDL,7.52,202,2025-05-06 13:42:00
DAL535,MW,-78.12,ACARS,6.91,0,2025-06-03 04:36:00
UAL148,NE,-71.9,ACARS,6.34,505,2025-05-19 17:54:00
UAL813,NE,-89.44,CPDLC,6.05,404,2025-04-02 05:25:00
SWA497,INTL,-78.32,ACARS,4.75,505,2025-05-25 00:56:00
FFT332,NW,-87.88,CPDLC,4.7,0,2025-04-27 00:01:00
FFT664,SW,-95.95,ACARS,8.99,0,2025-06-04 14:15:00
JBU367,SW,-105.91,ACARS,9.16,0,2025-05-14 03:50:00
DAL161,MW,-63.06,ACARS,3.66,0,2025-05-17 02:10:00
AAL231,NE,-98.61,VDL,9.47,0,2025-04-13 16:23:00
DAL111,SE,-78.53,ACARS,4.71,202,2025-04-06 15:50:00
AAL874,SW,-103.43,VDL,3.83,0,2025-05-30 16:38:00
DAL450,MW,-60.88,VDL,2.74,0,2025-06-04 14:13:00
UAL843,MW,-87.39,ACARS,1.91,404,2025-05-16 02:00:00
NKS909,SE,-63.67,ACARS,1.07,505,2025-04-11 00:33:00
FFT442,MW,-98.63,CPDLC,3.38,0,2025-06-05 05:53:00
FFT854,SW,-73.25,ACARS,3.57,0,2025-06-06 07:57:00
NKS621,NE,-60.08,CPDLC,7.98,303,2025-05-04 06:05:00
AAL533,SW,-105.68,FANS,9.3,303,2025-05-06 05:40:00
NKS515,SW,-83.83,ACARS,6.88,505,2025-05-18 07:33:00
UAL375,SE,-101.55,ACARS,5.77,101,2025-05-27 06:12:00
SWA184,NE,-87.38,ACARS,9.62,303,2025-06-03 02:34:00
SWA102,SW,-94.6,FANS,7.37,0,2025-04-12 20:11:00
SWA378,NW,-63.2,FANS,5.95,303,2025-05-01 22:56:00
DAL627,MW,-105.88,FANS,3.89,505,2025-04-21 09:22:00
SWA191,MW,-86.52,CPDLC,7.16,0,2025-04-12 14:10:00
AAL455,SW,-100.76,VDL,7.41,404,2025-04-24 08:12:00
NKS395,SE,-82.61,VDL,7.0,404,2025-06-07 07:08:00
FFT518,NW,-107.81,VDL,6.77,303,2025-04-13 23:05:00
NKS524,NE,-66.18,FANS,9.86,404,2025-06-03 02:47:00
UAL485,SW,-60.63,VDL,4.59,404,2025-04-02 11:30:00
AAL125,SE,-102.62,FANS,6.55,101,2025-04-21 14:58:00
FFT134,SE,-78.54,ACARS,1.68,0,2025-04-04 07:42:00
AAL181,SW,-79.62,CPDLC,7.24,0,2025-04-22 21:13:00
AAL850,SW,-85.31,FANS,5.38,0,2025-05-14 06:33:00
DAL286,SW,-104.31,VDL,6.71,101,2025-04-16 01:22:00
SWA226,NE,-107.63,CPDLC,1.3,0,2025-05-07 19:46:00
SWA537,SW,-75.88,VDL,6.28,404,2025-05-11 04:54:00
JBU825,INTL,-102.69,ACARS,5.24,404,2025-05-10 01:51:00
JBU943,SE,-106.58,VDL,1.06,0,2025-06-08 03:05:00
DAL396,MW,-108.29,VDL,8.0,303,2025-05-17 21:33:00
NKS109,INTL,-89.79,ACARS,6.4,303,2025-05-07 05:58:00
AAL754,MW,-86.07,VDL,4.97,0,2025-04-03 03:46:00
DAL225,SW,-73.04,VDL,1.26,505,2025-05-17 14:20:00
JBU312,SE,-70.62,ACARS,8.5,404,2025-05-23 06:17:00
UAL252,INTL,-92.21,ACARS,9.95,303,2025-04-25 09:36:00
JBU411,NW,-90.72,CPDLC,5.28,404,2025-04-04 06:01:00
FFT602,NW,-79.93,CPDLC,5.3,303,2025-05-16 04:10:00
SWA959,SE,-104.68,ACARS,1.22,505,2025-05-16 07:33:00
NKS800,NW,-103.84,VDL,8.78,0,2025-04-20 01:09:00
SWA573,SW,-67.18,VDL,7.22,0,2025-05-30 08:35:00
DAL152,NE,-86.06,VDL,5.35,101,2025-04-21 06:23:00
DAL256,NW,-60.67,ACARS,3.59,0,2025-05-23 16:50:00
DAL429,NE,-89.97,CPDLC,3.11,0,2025-04-29 19:35:00
SWA381,MW,-107.67,ACARS,9.43,303,2025-04-21 22:29:00
AAL667,NW,-68.52,FANS,1.01,505,2025-06-03 15:45:00
AAL782,INTL,-67.75,VDL,8.9,0,2025-04-21 17:37:00
FFT709,MW,-82.78,VDL,1.15,0,2025-04-19 12:25:00
FFT325,NW,-100.99,ACARS,5.07,404,2025-05-26 07:37:00
JBU976,SW,-92.58,CPDLC,2.16,0,2025-05-20 11:30:00
NKS208,NE,-67.06,FANS,7.67,303,2025-06-01 18:16:00
UAL124,SW,-105.23,VDL,4.92,505,2025-04-15 15:35:00
UAL831,NW,-109.63,CPDLC,2.73,505,2025-05-05 17:35:00
NKS423,MW,-81.35,CPDLC,1.42,0,2025-05-17 20:33:00
SWA141,SW,-60.57,ACARS,2.3,0,2025-05-01 22:08:00
UAL673,SE,-74.18,ACARS,2.15,404,2025-04-25 09:38:00
NKS703,INTL,-81.05,VDL,4.55,505,2025-05-30 14:39:00
JBU117,INTL,-74.52,CPDLC,1.29,404,2025-04-25 00:40:00
FFT242,MW,-80.07,FANS,3.78,505,2025-05-04 22:39:00
AAL344,NE,-99.26,FANS,2.26,0,2025-04-07 04:17:00
DAL929,SW,-73.17,FANS,7.92,0,2025-04-20 22:58:00
NKS819,NW,-69.35,VDL,5.29,0,2025-05-04 05:26:00
UAL613,NW,-85.35,ACARS,1.49,0,2025-05-20 03:34:00
NKS614,NE,-107.84,CPDLC,7.33,0,2025-05-07 16:15:00
DAL661,INTL,-102.99,ACARS,4.49,0,2025-04-05 21:42:00
NKS467,NE,-101.33,CPDLC,5.45,505,2025-05-31 13:07:00
SWA169,INTL,-72.36,ACARS,1.4,202,2025-05-11 01:55:00
UAL780,INTL,-61.6,FANS,6.08,0,2025-05-22 07:31:00
JBU872,MW,-72.05,CPDLC,2.22,0,2025-04-07 13:10:00
FFT626,NW,-65.06,FANS,5.97,404,2025-04-22 17:33:00
DAL120,NE,-109.52,CPDLC,1.96,0,2025-05-30 14:32:00
JBU137,SE,-79.1,ACARS,3.91,0,2025-05-04 11:40:00
NKS825,INTL,-100.49,VDL,4.36,404,2025-05-31 12:30:00
FFT394,MW,-96.67,ACARS,3.5,303,2025-06-04 11:19:00
NKS129,SW,-88.35,VDL,9.74,202,2025-05-27 05:04:00
NKS468,MW,-105.69,VDL,1.69,505,2025-04-07 05:51:00
NKS912,INTL,-73.28,CPDLC,3.88,0,2025-05-29 05:06:00
DAL420,SW,-66.67,VDL,6.16,0,2025-04-03 04:10:00
JBU173,SW,-82.98,VDL,1.49,0,2025-06-04 21:51:00
DAL639,MW,-97.53,ACARS,8.12,505,2025-05-31 09:39:00
JBU360,NW,-78.47,VDL,2.43,303,2025-04-16 01:58:00
AAL252,NW,-70.35,VDL,1.52,505,2025-04-11 06:55:00
DAL574,INTL,-84.19,FANS,5.95,0,2025-04-24 01:52:00
SWA418,NE,-79.19,VDL,4.02,0,2025-06-08 13:48:00
FFT739,NW,-73.29,ACARS,1.77,404,2025-04-03 22:38:00
DAL555,NE,-97.99,ACARS,7.01,404,2025-05-01 08:16:00
AAL103,SE,-90.93,FANS,8.1,0,2025-05-02 08:18:00
NKS251,SW,-109.29,VDL,1.75,0,2025-04-10 06:10:00
NKS859,NW,-89.14,VDL,4.06,202,2025-06-04 16:05:00
NKS706,MW,-70.23,ACARS,9.78,404,2025-05-27 15:47:00
NKS722,INTL,-70.61,FANS,9.94,0,2025-04-19 16:09:00
DAL572,NW,-104.04,VDL,4.28,303,2025-04-27 03:24:00
JBU577,SE,-103.9,VDL,3.13,303,2025-04-28 19:11:00
DAL130,SE,-63.08,VDL,2.1,0,2025-04-15 21:50:00
DAL332,INTL,-102.29,ACARS,5.56,0,2025-05-12 17:53:00
SWA850,NW,-77.73,ACARS,1.31,0,2025-06-02 22:28:00
DAL204,INTL,-101.28,FANS,3.15,101,2025-05-28 19:57:00
JBU852,SE,-74.38,VDL,1.51,303,2025-05-28 13:35:00
AAL807,MW,-91.97,VDL,8.83,0,2025-04-24 06:33:00
SWA996,MW,-94.6,CPDLC,4.72,505,2025-05-24 04:32:00
